Time,CE_OI,CE_CHNG_IN_OI,CE_Volume,CE_IV,CE_LTP,CE_CHNG,CE_BID_QTY,CE_BID_PRICE,CE_ASK_PRICE,CE_ASK_QTY,strikePrice,PE_CHNG_IN_OI,PE_Volume,PE_IV,PE_LTP,PE_CHNG,PE_BID_QTY,PE_BID_PRICE,PE_ASK_PRICE,PE_ASK_QTY,PE_OI,Nifty Current Price,COI_by_Volume_Call,COI_by_Volume_Put
09:28:12 AM,30,0,0,0.0,0.0,0.0,1500,2207.95,2312.35,2300,17200,-749,4688,39.23,1.8,-0.4499999999999999,11400,1.8,1.85,50300,10687,19475.8,,-7.988481228668942
09:28:12 AM,20,0,0,0.0,0.0,0.0,1500,2161.95,2243.7,300,17250,45,364,38.54,1.85,-0.5,1500,1.85,1.9,1550,159,19475.8,,6.181318681318682
09:28:12 AM,38,0,0,0.0,0.0,0.0,1500,2119.9,2181.1,250,17300,272,3703,37.85,1.95,-0.3499999999999998,8300,1.9,1.95,30950,17316,19475.8,,3.672697812584391
09:28:12 AM,31,0,0,0.0,0.0,0.0,1500,2062.3,2163.3,1800,17350,65,598,37.03,1.95,-0.5000000000000002,1350,1.95,2.0,3050,527,19475.8,,5.434782608695652
09:28:12 AM,4,0,0,0.0,0.0,0.0,1500,2016.85,2080.25,300,17400,152,5247,36.22,1.95,-0.55,1800,1.95,2.0,125050,17370,19475.8,,1.448446731465599
09:28:12 AM,4,0,0,0.0,0.0,0.0,1500,1963.5,2063.75,1800,17450,80,265,35.3,1.95,-0.5000000000000002,1150,1.9,1.95,1400,228,19475.8,,15.09433962264151
09:28:12 AM,144,-10,62,0.0,1968.6,-10.0,150,1974.45,1977.9,100,17500,-9635,36835,34.7,2.05,-0.4500000000000002,41950,2.0,2.05,114000,89459,19475.8,-8.064516129032258,-13.078593728790551
09:28:12 AM,10,0,0,0.0,0.0,0.0,1500,1864.25,1933.2,300,17550,90,471,33.79,2.0,-0.6000000000000001,2250,1.95,2.05,2300,351,19475.8,,9.554140127388536
09:28:12 AM,13,0,0,0.0,0.0,0.0,250,1835.8,1907.3,1500,17600,3972,13477,32.98,1.95,-0.5000000000000002,35350,1.9,1.95,26400,17440,19475.8,,14.736217259033907
09:28:12 AM,50,0,1,0.0,1559.0,-261.0,150,1785.95,1839.1,50,17650,-45,844,32.17,2.0,-0.5499999999999998,3950,1.95,2.0,5050,795,19475.8,0.0,-2.665876777251185
09:28:12 AM,72,0,0,0.0,0.0,0.0,250,1736.1,1807.4,800,17700,624,5177,31.46,2.0,-0.6000000000000001,16400,1.95,2.0,100,7073,19475.8,,6.026656364689975
09:28:12 AM,13,0,0,0.0,0.0,0.0,150,1686.2,1740.05,650,17750,69,1471,30.83,2.1,-0.5,7150,2.05,2.1,5900,583,19475.8,,2.3453433038749147
09:28:12 AM,292,0,0,0.0,0.0,0.0,150,1636.45,1690.05,250,17800,89,4199,29.93,2.05,-0.5500000000000003,15050,2.05,2.1,17550,19710,19475.8,,1.059776137175518
09:28:12 AM,41,0,0,0.0,0.0,0.0,150,1586.45,1657.5,2150,17850,-223,1027,29.12,2.15,-0.5,5050,2.1,2.15,6150,561,19475.8,,-10.856864654333007
09:28:12 AM,57,0,0,0.0,0.0,0.0,150,1565.3,1587.3,250,17900,487,4684,28.39,2.2,-0.4499999999999997,20250,2.15,2.2,25650,11973,19475.8,,5.198548249359522
09:28:12 AM,89,0,0,0.0,0.0,0.0,700,1511.2,1540.2,1600,17950,152,2565,27.74,2.3,-0.5,5550,2.25,2.3,9350,2179,19475.8,,2.9629629629629632
09:28:12 AM,1004,-2,8,0.0,1471.55,-6.5,900,1473.0,1478.0,100,18000,-319,35519,26.92,2.2,-0.5499999999999998,56350,2.2,2.25,55250,41786,19475.8,-12.5,-0.449055435119232
09:28:12 AM,167,0,11,0.0,1400.25,-29.34999999999991,400,1404.65,1434.45,150,18050,133,1373,26.25,2.35,-0.4499999999999997,10550,2.3,2.35,9450,1703,19475.8,0.0,4.84340859431901
09:28:12 AM,333,0,0,0.0,0.0,0.0,350,1366.45,1374.7,500,18100,53,13847,25.5,2.4,-0.5,9700,2.4,2.45,25600,33341,19475.8,,0.1913771936159456
09:28:12 AM,75,0,2,0.0,1301.65,-23.34999999999991,2350,1304.35,1344.1,100,18150,157,2171,24.68,2.45,-0.4499999999999997,1950,2.4,2.45,9800,2352,19475.8,0.0,3.615845232611699
09:28:12 AM,162,0,7,0.0,1250.35,-27.65000000000009,250,1265.5,1285.15,3400,18200,92,19072,23.92,2.4,-0.4500000000000002,14450,2.4,2.45,60000,17737,19475.8,0.0,0.2411912751677852
09:28:12 AM,109,0,0,0.0,0.0,0.0,150,1211.3,1233.8,2350,18250,189,2862,23.15,2.5,-0.3999999999999999,8250,2.5,2.55,14400,1706,19475.8,,3.30188679245283
09:28:12 AM,351,0,8,0.0,1148.9,-29.799999999999955,100,1172.65,1175.3,50,18300,2113,12779,22.44,2.6,-0.4499999999999997,29550,2.6,2.65,47850,22908,19475.8,0.0,8.267470068080444
09:28:12 AM,92,0,0,0.0,0.0,0.0,2750,1116.15,1144.45,2750,18350,666,3241,21.67,2.65,-0.3500000000000001,14150,2.6,2.65,4850,2713,19475.8,,10.27460660290034
09:28:12 AM,523,0,4,0.0,1061.95,-18.799999999999955,100,1073.4,1082.2,250,18400,2364,17156,20.99,2.8,-0.3500000000000001,48050,2.75,2.8,7400,16394,19475.8,0.0,6.8897178829564005
09:28:12 AM,96,3,5,0.0,1008.1,-17.249999999999886,5200,1017.3,1028.65,200,18450,1709,6484,20.3,2.9,-0.3000000000000002,4250,2.9,2.95,32850,3313,19475.8,30.0,13.17859346082665
09:28:12 AM,3364,1,68,0.0,975.55,-5.800000000000068,150,976.15,977.65,350,18500,14848,58360,19.54,3.0,-0.3999999999999999,162550,3.0,3.05,91550,91474,19475.8,0.7352941176470589,12.721041809458534
09:28:12 AM,94,0,6,0.0,921.6,-13.75,150,925.4,931.35,150,18550,2067,8084,18.86,3.3,-0.25,26200,3.25,3.3,11250,4882,19475.8,0.0,12.78451261751608
09:28:12 AM,1374,0,10,0.0,870.45,-14.75,150,876.05,879.0,100,18600,2577,25547,18.28,3.5,-0.2999999999999998,7000,3.5,3.55,36850,28688,19475.8,0.0,5.043645046385095
09:28:12 AM,331,84,263,0.0,814.75,-15.25,450,826.6,828.1,450,18650,1695,8822,17.63,3.85,-0.3000000000000002,16550,3.85,3.9,12600,5623,19475.8,15.96958174904943,9.606665155293584
09:28:12 AM,1713,18,113,0.0,777.2,-5.25,500,777.55,779.05,100,18700,6228,46942,17.04,4.35,-0.3500000000000005,27950,4.3,4.35,30400,74834,19475.8,7.964601769911504,6.6337182054450174
09:28:12 AM,347,0,12,0.0,702.0,-34.85000000000002,200,728.45,731.7,50,18750,3105,15860,16.37,4.65,-0.25,24550,4.65,4.7,10700,16448,19475.8,0.0,9.78877679697352
09:28:12 AM,3160,2,100,0.0,677.65,-7.149999999999977,50,678.95,679.9,200,18800,8289,52566,15.73,5.15,-0.1999999999999993,750,5.15,5.2,32650,45563,19475.8,1.0,7.884373929916675
09:28:12 AM,486,10,43,0.0,619.9,-14.850000000000025,600,629.75,631.1,600,18850,2661,21958,15.11,5.9,-0.0499999999999998,2150,5.85,5.9,11600,12327,19475.8,11.627906976744184,6.059295017761181
09:28:12 AM,3783,25,168,0.0,578.45,-9.349999999999907,150,579.15,580.4,650,18900,6566,58334,14.5,6.65,-0.1999999999999993,22900,6.65,6.7,4750,59556,19475.8,7.440476190476191,5.627935680735077
09:28:12 AM,764,15,59,0.0,530.45,-9.0,700,532.35,533.45,50,18950,4556,30897,13.99,7.9,-0.0999999999999996,6550,7.9,7.95,18250,20524,19475.8,12.71186440677966,7.372884098779816
09:28:12 AM,11606,-3,1278,0.0,485.0,-5.5,50,482.7,483.55,700,19000,10196,77321,13.61,9.85,-0.200000000000001,8500,9.8,9.85,7050,77335,19475.8,-0.1173708920187793,6.5932928958497685
09:28:12 AM,785,73,233,0.0,435.4,-8.100000000000023,700,436.6,437.65,750,19050,5337,44334,13.2,12.1,-0.3000000000000007,4350,12.05,12.1,11800,24994,19475.8,15.665236051502148,6.019082419813236
09:28:12 AM,6217,11,1701,0.0,388.9,-7.850000000000023,50,389.4,390.2,850,19100,6534,61109,12.88,15.2,-0.3000000000000007,16450,15.1,15.2,7800,55755,19475.8,0.3233392122281011,5.346184686380075
09:28:12 AM,1320,-25,696,0.0,343.5,-7.5,1000,343.65,344.45,700,19150,9850,53132,12.56,19.2,-0.6000000000000014,300,19.2,19.25,1400,29712,19475.8,-1.7959770114942528,9.269366859896108
09:28:12 AM,10460,117,9556,0.0,300.65,-6.100000000000023,50,299.75,300.35,50,19200,26376,123337,12.34,24.9,-0.5500000000000007,1050,24.85,24.9,3600,82605,19475.8,0.6121808287986605,10.692655083227256
